Columbarium,Type,Level,Size,Price
St. Therese Columbarium,Cemetery,1,4,80000
St. Therese Columbarium,Cemetery,2,4,85000
St. Therese Columbarium,Cemetery,3,4,100000
St. Therese Columbarium,Cemetery,4,4,90000
St. Therese Columbarium,Cemetery,5,4,85000
Pasay Municipal Cemetery,Cemetery,1,1,50000
Veronica Memorial Chapel,Funeral Home,1,2,60000
Veronica Memorial Chapel,Funeral Home,2,2,60000
Veronica Memorial Chapel,Funeral Home,3,2,65000
Veronica Memorial Chapel,Funeral Home,4,2,65000
Veronica Memorial Chapel,Funeral Home,5,2,60000
Veronica Memorial Chapel,Funeral Home,6,2,60000
"Rizal Funeral Homes, Inc.",Funeral Home,1,2,50000
"Rizal Funeral Homes, Inc.",Funeral Home,2,2,60000
"Rizal Funeral Homes, Inc.",Funeral Home,3,2,60000
"Rizal Funeral Homes, Inc.",Funeral Home,4,2,50000
Shrine of St. Therese of the Child Jesus,Church,1,4,70000
Shrine of St. Therese of the Child Jesus,Church,2,4,75000
Shrine of St. Therese of the Child Jesus,Church,3,4,80000
Shrine of St. Therese of the Child Jesus,Church,4,4,10000
Shrine of St. Therese of the Child Jesus,Church,5,4,10000
Shrine of St. Therese of the Child Jesus,Church,6,4,85000
Shrine of St. Therese of the Child Jesus,Church,7,4,80000
Shrine of St. Therese of the Child Jesus,Church,8,4,80000
RC Funeral Director and Special Services,Funeral Home,1,1,50000
Our Lady of Fatima Pasay,Church,1,4,50000
Our Lady of Fatima Pasay,Church,2,4,55000
Our Lady of Fatima Pasay,Church,3,4,60000
Our Lady of Fatima Pasay,Church,4,4,60000
Our Lady of Fatima Pasay,Church,5,4,60000
Our Lady of Fatima Pasay,Church,6,4,55000
